City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,acamixtla,18.5667,-99.5833,16.42,85,23,1.61,MX,1691569831
202,acapulco de juarez,16.8634,-99.8901,26.9,74,40,3.09,MX,1691569831
203,berdigestyakh,62.0989,126.6992,22.89,33,16,3.59,RU,1691569831
204,novyy urengoy,66.0833,76.6333,9.52,84,100,8.7,RU,1691569832
205,tura,25.5198,90.2201,28.8,78,100,1.87,IN,1691569832
206,yarmouth,41.7057,-70.2286,21.26,85,20,7.6,US,1691569832
207,kippax,53.7701,-1.3702,18.06,70,72,2.24,GB,1691569832
208,broken hill,-31.95,141.4333,14.72,34,6,5.26,AU,1691569832
209,tamandare,-8.7597,-35.1047,24.05,73,79,4.17,BR,1691569832
210,kavieng,-2.5744,150.7967,26.84,82,92,6.03,PG,1691569833
211,wailua homesteads,22.0669,-159.378,27.24,81,100,10.8,US,1691569833
212,afaahiti,-17.75,-149.2833,23.92,78,93,8.09,PF,1691569833
213,iquitos,-3.7481,-73.2472,22.02,94,75,1.03,PE,1691569833
214,santa cruz del norte,23.1539,-81.9236,27.64,87,5,5.03,CU,1691569833
215,popondetta,-8.7537,148.2534,23.64,78,61,1.06,PG,1691569834
216,fortuna,40.5982,-124.1573,16.63,93,100,3.09,US,1691569834
217,ambalangoda,6.2355,80.0538,28.7,73,53,5.07,LK,1691569834
218,enewetak,11.3474,162.3373,28.29,79,85,6.05,MH,1691569834
219,nesoddtangen,59.8655,10.6594,14.71,97,100,3.58,NO,1691569834
220,puerto armuelles,8.2833,-82.8667,27.27,91,79,1.34,PA,1691569692
221,cartagena,10.3997,-75.5144,27.79,89,40,2.06,CO,1691569557
222,isola di capo rizzuto,38.96,17.0933,26.41,41,0,4.12,IT,1691569835
223,kalabo,-14.97,22.6814,27.54,23,0,4.75,ZM,1691569810
224,greenville,35.6127,-77.3663,24.09,90,100,0.0,US,1691569567
225,tocopilla,-22.092,-70.1979,17.51,71,16,2.39,CL,1691569835
226,palmer,42.1584,-72.3287,20.78,85,100,5.14,US,1691569835
227,olonkinbyen,70.9221,-8.7187,5.4,89,100,13.54,SJ,1691569725
228,juneau,58.3019,-134.4197,14.56,97,75,2.06,US,1691569835
229,saipan,15.1355,145.701,28.39,100,40,3.09,MP,1691569835
230,turpan,42.9333,89.1667,41.92,15,0,1.67,CN,1691569836
231,el alto,-4.2714,-81.2147,19.98,85,99,4.59,PE,1691569836
232,viedma,-40.8135,-62.9967,8.99,51,100,7.17,AR,1691569836
233,panjab,34.388,67.0233,25.92,13,0,2.78,AF,1691569836
234,ghadamis,30.1337,9.5007,32.9,22,0,4.31,LY,1691569836
235,newman,37.3138,-121.0208,19.02,81,0,0.89,US,1691569836
236,atbasar,51.8,68.3333,23.66,46,100,1.33,KZ,1691569836
237,ksar chellala,35.2122,2.3189,34.19,19,16,3.47,DZ,1691569837
238,bikenibeu village,1.3673,173.1241,28.98,74,40,0.0,KI,1691569824
239,constitucion,-35.3333,-72.4167,12.04,63,100,1.89,CL,1691569837
240,kourou,5.1552,-52.6478,23.03,91,68,2.94,GF,1691569808
241,yanchep,-31.55,115.6833,18.49,60,0,3.1,AU,1691569833
242,puerto baquerizo moreno,-0.9,-89.6,23.16,79,100,4.86,EC,1691569761
243,sandnessjoen,66.0217,12.6316,19.29,45,40,9.77,NO,1691569600
244,yuzhnoural'sk,54.4418,61.2536,19.67,79,100,3.62,RU,1691569838
245,lazaro cardenas,17.9583,-102.2,27.18,90,91,1.3,MX,1691569612
246,carolina,18.3808,-65.9574,28.35,93,40,1.54,PR,1691569838
247,revda,56.801,59.9303,25.65,41,26,3.69,RU,1691569838
248,broome,42.2506,-75.833,17.43,90,100,2.01,US,1691569838
249,shimoda,34.6667,138.95,29.2,91,100,4.28,JP,1691569838
250,balkanabat,39.5108,54.3671,39.39,13,0,2.89,TM,1691569838
251,kavaratti,10.5669,72.642,27.99,77,100,7.78,IN,1691569839
252,ribeira brava,32.65,-17.0667,24.35,69,11,1.84,PT,1691569839
253,new norfolk,-42.7826,147.0587,12.18,63,100,2.27,AU,1691569795
254,malango,-2.9627,119.9001,22.18,94,92,0.94,ID,1691569839
